Issue Type,Issue Key,Summary,Epic Name,Epic Link,Priority,Story Points,Labels,Sprint,Description,Acceptance Criteria
Epic,RG-EP1,RG-1 Gifting UX in chat,RG-1 Gifting UX in chat,,High,,rose-gifts;chat;ux,Sprint 1,"Inline tray, preview flow, and gift rendering in chat.","N/A"
Epic,RG-EP2,RG-2 Catalog and wallet backend,RG-2 Catalog and wallet backend,,High,,rose-gifts;backend;wallet,Sprint 1,"DB-backed catalog and wallet/send APIs with safe behavior.","N/A"
Epic,RG-EP3,RG-3 Coin earning loops,RG-3 Coin earning loops,,Medium,,rose-gifts;retention;economy,Sprint 3,"Daily streak and session activity coin earn logic.","N/A"
Epic,RG-EP4,RG-4 Monetization offers,RG-4 Monetization offers,,Medium,,rose-gifts;monetization,Sprint 4,"Starter packs, bundles, and limited offers.","N/A"
Epic,RG-EP5,RG-5 Trust and telemetry,RG-5 Trust and telemetry,,High,,rose-gifts;trust;analytics,Sprint 2,"Abuse controls and event metrics for tuning.","N/A"
Story,RG-101,Show inline rose tray in chat,,RG-EP1,High,5,rose-gifts;chat;flutter,Sprint 1,"As a chatting user I can open an inline rose tray above composer.","Given chat screen when gift button tapped then tray opens; Given tray open when close tapped then tray collapses; Given chat locked then gift control disabled"
Story,RG-102,Show free/paid cards and wallet balance,,RG-EP1,High,5,rose-gifts;wallet;flutter,Sprint 1,"As a user I can see gift prices and wallet balance before send.","Cards show Free or X coins; wallet visible in tray and composer; insufficient funds disables paid gift"
Story,RG-103,Preview and confirm send flow,,RG-EP1,High,3,rose-gifts;chat;flutter,Sprint 1,"As a user I preview gift before confirming send.","Tap gift opens preview; paid requires confirm; free can send from preview"
Story,RG-104,Persist gift sends in chat timeline,,RG-EP1,High,8,rose-gifts;chat;backend;flutter,Sprint 1,"As users we see sent gifts in chat as gift events.","Gift appears in message list; bubble renders gif/name/price; text messages unaffected"
Story,RG-105,Create DB-backed gift catalog API,,RG-EP2,High,8,rose-gifts;catalog;backend,Sprint 1,"As client we fetch active gifts from backend catalog.","Endpoint returns active gifts with price/tier/limited flags; schema supports free+paid; OpenAPI updated"
Story,RG-106,Create send gift API with atomic wallet debit,,RG-EP2,High,13,rose-gifts;wallet;backend,Sprint 2,"As a user sending paid gifts debits wallet safely once.","Validate participants/match; insufficient balance returns clear error; debit+send consistent; idempotent retry safe"
Story,RG-107,Add wallet read and controlled top-up API,,RG-EP2,Medium,8,rose-gifts;wallet;backend,Sprint 2,"As a user I can see wallet and receive controlled top-up in MVP.","Wallet endpoint returns balance; controlled top-up endpoint available; all changes audit logged"
Story,RG-110,Add gift funnel telemetry and dashboards,,RG-EP5,High,8,rose-gifts;analytics;backend,Sprint 2,"As PM/analytics we track gift conversion and economy health.","Track panel/preview/send/failure events; track coins earned/spent; dashboard includes tier distribution"
Story,RG-108,Add daily login streak coin rewards,,RG-EP3,Medium,8,rose-gifts;retention;backend,Sprint 3,"As user I earn streak coins for daily return.","First login/day grants reward; missed day resets streak; daily cap enforced"
Story,RG-109,Add active session coin rewards with anti-idle,,RG-EP3,Medium,13,rose-gifts;retention;anti-abuse,Sprint 3,"As active user I earn coins for real activity only.","Reward requires active interaction; idle/background excluded; cooldown+cap enforced"
Story,RG-112,Add abuse/fraud safeguards for coin economy,,RG-EP5,High,8,rose-gifts;trust;anti-abuse,Sprint 3,"As trust team we detect and control suspicious economy behavior.","Velocity rules in place; suspicious events alerted; feature-flagged throttling/temporary lock available"
Story,RG-111,Implement weekly limited rose drops,,RG-EP4,Medium,5,rose-gifts;catalog;monetization,Sprint 4,"As collector users we get rotating limited gifts.","One weekly limited item active; expired hidden/disabled; schedule configurable"
Task,RG-201,Run economy simulation for pricing and caps,,RG-EP5,High,5,rose-gifts;analytics;economy,Sprint 2,"Simulation validates inflation risk and conversion targets.","Scenario report produced; recommendation approved by PM/Data"
Task,RG-202,Prepare rollout plan with feature flags,,RG-EP5,High,3,rose-gifts;release;flags,Sprint 2,"Controlled rollout strategy for safe launch.","Flags documented; staged rollout steps approved; rollback path validated"
